id,name,rank,media,episodes,season,members,score
877,Nana,109,TV,47,Apr2006-Mar2007,352448,8.46
33486,Boku no Hero Academia 2nd Season,110,TV,25,Apr2017-Sep2017,1304105,8.45
14397,Chihayafuru 2,111,TV,25,Jan2013-Jun2013,166889,8.45
5941,Cross Game,112,TV,50,Apr2009-Mar2010,93540,8.45
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Go),113,Movie,1,Aug2009-Aug2009,153635,8.45
467,Koukaku Kidoutai: Stand Alone Complex,114,TV,26,Oct2002-Oct2003,308172,8.45
31181,Owarimonogatari,115,TV,12,Oct2015-Dec2015,310872,8.45
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,116,Movie,1,Feb2018-Feb2018,193183,8.45
10162,Usagi Drop,117,TV,11,Jul2011-Sep2011,361151,8.45
392,Yuu☆Yuu☆Hakusho,118,TV,112,Oct1992-Jan1995,413300,8.45
16498,Shingeki no Kyojin,119,TV,25,Apr2013-Sep2013,2066328,8.44
31646,3-gatsu no Lion,120,TV,22,Oct2016-Mar2017,380895,8.44
21899,Gintama: Yorinuki Gintama-san on Theater 2D,121,Movie,2,Aug2012-Aug2012,28187,8.44
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,122,TV,12,Jan2019-Mar2019,662982,8.44
38889,Kono Oto Tomare! 2nd Season,123,TV,13,Oct2019-Dec2019,59932,8.44
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,124,Movie,1,Oct2013-Oct2013,263342,8.44
32366,Gintama°: Aizome Kaori-hen,125,OVA,2,Aug2016-Nov2016,52387,8.43
777,Hellsing Ultimate,126,OVA,10,Feb2006-Dec2012,604658,8.43
136,Hunter x Hunter,127,TV,62,Oct1999-Mar2001,352480,8.43
22535,Kiseijuu: Sei no Kakuritsu,128,TV,24,Oct2014-Mar2015,1058004,8.43
437,Perfect Blue,129,Movie,1,Feb1998-Feb1998,310888,8.43
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,130,Movie,1,Sep2019-Sep2019,118288,8.42
2251,Baccano!,131,TV,13,Jul2007-Nov2007,644702,8.42
10030,Bakuman. 2nd Season,132,TV,25,Oct2011-Mar2012,267573,8.42
22789,Barakamon,133,TV,12,Jul2014-Sep2014,457223,8.42
10408,Hotarubi no Mori e,134,Movie,1,Sep2011-Sep2011,483716,8.42
35557,Houseki no Kuni (TV),135,TV,12,Oct2017-Dec2017,265040,8.42
572,Kaze no Tani no Nausicaä,136,Movie,1,Mar1984-Mar1984,252373,8.42
2246,Mononoke,137,TV,12,Jul2007-Sep2007,184893,8.42
31043,Boku dake ga Inai Machi,138,TV,12,Jan2016-Mar2016,1130158,8.41
17389,Kingdom 2nd Season,139,TV,39,Jun2013-Mar2014,70625,8.41
9260,Kizumonogatari I: Tekketsu-hen,140,Movie,1,Jan2016-Jan2016,321834,8.41
38450,Mo Dao Zu Shi 2nd Season,141,ONA,8,Aug2019-Sep2019,39929,8.41
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,142,Movie,1,Sep2018-Sep2018,37089,8.41
36275,Natsume Yuujinchou Roku Specials,143,Special,2,Sep2017-Oct2017,28057,8.41
37105,Grand Blue,144,TV,12,Jul2018-Sep2018,323503,8.4
30709,Kamisama Hajimemashita: Kako-hen,145,OVA,4,Aug2015-Aug2016,101888,8.4
33674,No Game No Life: Zero,146,Movie,1,Jul2017-Jul2017,516582,8.4
13601,Psycho-Pass,147,TV,22,Oct2012-Mar2013,1083002,8.4
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,148,TV,13,Oct2018-Dec2018,669427,8.4
25777,Shingeki no Kyojin Season 2,149,TV,12,Apr2017-Jun2017,1217011,8.39
12029,Uchuu Senkan Yamato 2199,150,OVA,26,May2012-Oct2013,86415,8.39
36999,Zoku Owarimonogatari,151,Movie,6,Nov2018-Nov2018,120558,8.39
5,Cowboy Bebop: Tengoku no Tobira,152,Movie,1,Sep2001-Sep2001,247296,8.39
24415,Kuroko no Basket 3rd Season,153,TV,25,Jan2015-Jun2015,442463,8.39
9756,Mahou Shoujo Madoka★Magica,154,TV,12,Jan2011-Apr2011,876531,8.39
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,155,Movie,1,Oct2012-Oct2012,150591,8.39
7655,Major S6,156,TV,25,Apr2010-Sep2010,46019,8.39
36456,Boku no Hero Academia 3rd Season,157,TV,25,Apr2018-Sep2018,1048490,8.38
6594,Katanagatari,158,TV,12,Jan2010-Dec2010,400152,8.38
5341,Ookami to Koushinryou II,159,TV,12,Jul2009-Sep2009,365913,8.38
2559,Romeo no Aoi Sora,160,TV,33,Jan1995-Dec1995,33147,8.38
12531,Sakamichi no Apollon,161,TV,12,Apr2012-Jun2012,259359,8.38
13125,Shinsekai yori,162,TV,25,Sep2012-Mar2013,568046,8.38
25781,Shingeki no Kyojin: Kuinaki Sentaku,163,OVA,2,Dec2014-Apr2015,263111,8.37
25835,Shirobako,164,TV,24,Oct2014-Mar2015,318030,8.37
28171,Shokugeki no Souma,165,TV,24,Apr2015-Sep2015,996079,8.37
10863,Steins;Gate: Oukoubakko no Poriomania,166,Special,1,Feb2012-Feb2012,309474,8.37
38691,Dr. Stone,167,TV,24,Jul2019-Dec2019,679017,8.37
10087,Fate/Zero,168,TV,13,Oct2011-Dec2011,960271,8.37
11917,Major: World Series,169,OVA,2,Dec2011-Jan2012,27076,8.37
28805,Bakemono no Ko,170,Movie,1,Jul2015-Jul2015,273313,8.36
5081,Bakemonogatari,171,TV,15,Jul2009-Jun2010,943878,8.36
3784,Evangelion: 2.0 You Can (Not) Advance,172,Movie,1,Jul2009-Jul2009,316504,8.36
5420,Kemono no Souja Erin,173,TV,50,Jan2009-Dec2009,64367,8.36
486,Kino no Tabi: The Beautiful World,174,TV,13,Apr2003-Jul2003,201165,8.36
10937,Mobile Suit Gundam: The Origin,175,OVA,6,Apr2015-May2018,46144,8.36
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,176,OVA,1,Feb2014-Feb2014,57527,8.36
5040,One Outs,177,TV,25,Oct2008-Apr2009,165006,8.36
37078,Quanzhi Gaoshou Specials,178,ONA,3,Apr2018-May2018,68035,8.36
34240,Shelter,179,Music,1,Oct2016-Oct2016,241642,8.36
523,Tonari no Totoro,180,Movie,1,Apr1988-Apr1988,624289,8.35
36649,Banana Fish,181,TV,24,Jul2018-Dec2018,264962,8.35
30230,Diamond no Ace: Second Season,182,TV,51,Apr2015-Mar2016,89952,8.35
